"client_id";"contact_date";"contact_outcome"
24061;2008-03-19;failure
24061;2008-05-14;success
24061;2008-05-23;failure
24063;2008-05-08;other
24065;2008-05-01;success
24065;2008-05-27;failure
24065;2008-07-05;other
24065;2008-07-22;failure
24073;2008-05-26;other
24073;2008-06-27;success
24073;2008-06-29;success
24073;2008-07-28;other
24078;2008-03-18;failure
24078;2008-05-05;other
24078;2008-06-02;failure
24081;2008-05-13;other
24081;2008-05-29;success
24087;2008-06-16;failure
24087;2008-07-28;other
24123;2008-03-22;other
24123;2008-05-04;success
24123;2008-05-15;success
24123;2008-06-17;other
24128;2008-05-13;failure
24137;2008-05-02;failure
24137;2008-05-04;other
24137;2008-05-13;success
24137;2008-05-13;failure
24137;2008-05-14;failure
24137;2008-05-15;failure
24137;2008-06-04;failure
24137;2008-06-10;failure
24137;2008-07-20;failure
24137;2008-07-21;failure
24137;2008-07-28;other
24152;2008-03-19;other
24152;2008-05-20;failure
24161;2008-05-15;failure
24161;2008-05-17;success
24161;2008-05-26;failure
24166;2008-03-28;success
24166;2008-05-07;failure
24166;2008-05-29;success
24171;2008-05-23;failure
24185;2008-04-22;success
24185;2008-05-06;failure
24187;2008-04-29;success
24187;2008-06-05;failure
24188;2008-05-14;failure
24188;2008-07-11;failure
24190;2008-05-13;failure
24199;2008-05-02;other
24199;2008-05-05;failure
24204;2008-05-29;failure
24208;2008-07-22;failure
24209;2008-04-29;failure
24209;2008-06-03;failure
24231;2008-06-26;success
24231;2008-06-28;success
24231;2008-07-21;failure
24235;2008-05-18;success
24235;2008-08-05;other
24237;2008-04-22;other
24237;2008-05-30;failure
24239;2008-06-27;failure
24239;2008-07-23;other
24240;2008-04-01;failure
24240;2008-06-06;success
24251;2008-07-08;failure
24254;2008-05-13;other
24254;2008-07-11;failure
24255;2008-07-09;failure
24258;2008-04-29;success
24258;2008-07-17;failure
24265;2008-06-11;success
24266;2008-03-12;success
24266;2008-05-15;failure
24267;2008-05-15;failure
24296;2008-03-06;success
24296;2008-03-10;success
24296;2008-03-12;other
24296;2008-03-24;failure
24296;2008-03-30;other
24296;2008-04-03;failure
24296;2008-04-05;success
24296;2008-04-15;other
24296;2008-04-22;failure
24296;2008-05-06;failure
24296;2008-05-12;other
24296;2008-05-15;failure
24296;2008-05-28;other
24296;2008-05-29;success
24296;2008-05-31;other
24296;2008-06-03;other
24300;2008-05-04;failure
24300;2008-05-14;failure
24300;2008-05-28;other
24300;2008-05-28;other
24300;2008-07-05;other
24300;2008-07-29;failure
24301;2008-05-01;success
24301;2008-05-07;other
24301;2008-05-31;other
24301;2008-07-17;failure
24301;2008-07-25;other
24312;2008-03-19;failure
24312;2008-05-29;failure
24313;2008-05-31;success
24313;2008-07-29;failure
24316;2008-05-09;success
24316;2008-07-17;failure
24324;2008-07-24;failure
24327;2008-05-28;failure
24328;2008-07-17;failure
24331;2008-04-06;failure
24331;2008-05-23;other
24332;2008-03-06;success
24332;2008-03-11;success
24332;2008-04-06;other
24332;2008-04-25;other
24332;2008-05-13;other
24332;2008-05-19;failure
24332;2008-05-25;success
24332;2008-05-30;success
24332;2008-05-31;other
24332;2008-06-04;failure
24344;2008-04-02;other
24344;2008-05-08;failure
24344;2008-06-06;failure
24347;2008-05-18;success
24347;2008-06-23;success
24347;2008-07-29;failure
24351;2008-07-03;failure
24351;2008-07-30;failure
24354;2008-07-25;failure
24359;2008-06-18;failure
24360;2008-07-25;failure
24365;2008-05-30;success
